customer_id,Customer,Gender,Income,Employment Status,Education,Marital Status,Country,State Code,Location Type,Policy Name,Policy Type,Number of Policies,Premium Per Month,Coverage,Sales Channel,Vehicle Type,Vehicle Size,date,Claim Reason,Claim Demanded,Claim Sanctioned,Number of Open Complaints,Response,Months Since Last Claim,Months Since Policy Inspection
0,BU79786,F,56274,Employed,Bachelor,Married,US,KS,Suburban,Corporate L3,Corporate Auto,1,69,Basic,Agent,Two-Door Car,Medsize,2/24/11,Collision,276.35192789999996,384.811147,0,No,32,5
1,QZ44356,F,0,Unemployed,Bachelor,Single,US,NE,Suburban,Personal L3,Personal Auto,8,94,Extended,Agent,Four-Door Car,Medsize,1/31/11,Scratch/Dent,697.9535903,1131.464935,0,No,13,42
2,AI49188,F,48767,Employed,Bachelor,Married,US,OK,Suburban,Personal L3,Personal Auto,2,108,Premium,Agent,Two-Door Car,Medsize,2/19/11,Collision,1288.743165,566.4722469999999,0,No,18,38
3,WW63253,M,0,Unemployed,Bachelor,Married,US,MO,Suburban,Corporate L2,Corporate Auto,7,106,Basic,Call Center,SUV,Medsize,1/20/11,Collision,764.5861827,529.881344,0,No,18,65
4,HB64268,M,43836,Employed,Bachelor,Single,US,KS,Rural,Personal L1,Personal Auto,1,73,Basic,Agent,Four-Door Car,Medsize,2/3/11,Collision,281.3692575,138.130879,0,No,12,44
5,OC83172,F,62902,Employed,Bachelor,Married,US,IA,Rural,Personal L3,Personal Auto,2,69,Basic,Web,Two-Door Car,Medsize,1/25/11,Hail,825.62978,159.383042,0,Yes,14,94
6,XZ87318,F,55350,Employed,College,Married,US,IA,Suburban,Corporate L3,Corporate Auto,9,67,Basic,Agent,Four-Door Car,Medsize,2/24/11,Collision,538.0898636,321.6,0,Yes,0,13
7,CF85061,M,0,Unemployed,Master,Single,US,NE,Urban,Corporate L3,Corporate Auto,4,101,Premium,Agent,Four-Door Car,Medsize,1/18/11,Collision,721.6100311,363.02968,0,No,0,68
8,DY87989,M,14072,Medical Leave,Bachelor,Divorced,US,IA,Suburban,Corporate L3,Corporate Auto,2,71,Basic,Agent,Four-Door Car,Medsize,1/26/11,Collision,2412.750402,511.2,0,Yes,13,3
9,BQ94931,F,28812,Employed,College,Married,US,IA,Urban,Special L2,Special Auto,8,93,Extended,Branch,Four-Door Car,Medsize,2/17/11,Hail,738.8178085,425.527834,0,No,17,7
10,SX51350,M,0,Unemployed,College,Single,US,MO,Suburban,Personal L3,Personal Auto,3,67,Basic,Agent,Four-Door Car,Small,2/21/11,Collision,473.8992022,482.4,0,No,23,5
11,VQ65197,F,0,Unemployed,College,Married,US,MO,Suburban,Personal L3,Personal Auto,3,110,Basic,Agent,SUV,Medsize,1/6/11,Hail,819.7197077999999,528.0,0,No,27,87
12,DP39365,M,77026,Employed,Master,Married,US,MO,Urban,Corporate L1,Corporate Auto,3,110,Premium,Agent,Four-Door Car,Medsize,2/6/11,Hail,879.8797002999999,472.029737,2,No,9,82
13,SJ95423,M,99845,Employed,High School or Below,Married,US,NE,Suburban,Corporate L3,Corporate Auto,8,110,Basic,Branch,SUV,Medsize,1/10/11,Hail,881.9018934000001,528.0,1,Yes,23,25
14,IL66569,M,83689,Employed,College,Single,US,MO,Urban,Corporate L3,Corporate Auto,8,70,Basic,Call Center,Four-Door Car,Medsize,1/18/11,Other,538.4431665,307.13913199999996,2,No,21,10
15,BW63560,F,24599,Employed,Bachelor,Married,US,IA,Rural,Corporate L2,Corporate Auto,2,64,Basic,Branch,Four-Door Car,Medsize,1/17/11,Hail,746.3139377,42.920271,1,No,12,50
16,FV94802,M,25049,Medical Leave,High School or Below,Married,US,OK,Suburban,Personal L3,Personal Auto,1,67,Basic,Call Center,Two-Door Car,Medsize,2/6/11,Hail,256.6867823,454.24509800000004,0,No,14,7
17,OE15005,M,28855,Medical Leave,College,Married,US,MO,Suburban,Personal L2,Personal Auto,1,101,Basic,Call Center,SUV,Medsize,1/5/11,Scratch/Dent,394.52416039999997,647.4420309999999,0,No,12,59
18,WC83389,M,51148,Employed,College,Married,US,IA,Urban,Personal L2,Personal Auto,7,72,Basic,Branch,Four-Door Car,Medsize,2/27/11,Hail,571.0333115,308.981664,0,No,9,1
19,FL50705,F,66140,Employed,High School or Below,Married,US,MO,Suburban,Corporate L2,Corporate Auto,3,101,Premium,Call Center,Four-Door Car,Small,1/14/11,Collision,816.2617052999999,484.8,0,No,11,21
20,ZK25313,M,57749,Employed,High School or Below,Single,US,IA,Suburban,Personal L2,Personal Auto,1,74,Basic,Branch,Two-Door Car,Medsize,2/19/11,Collision,287.2051273,355.2,0,No,31,21
21,SV62436,F,13789,Disabled,Bachelor,Divorced,US,KS,Suburban,Personal L3,Personal Auto,1,79,Extended,Call Center,Four-Door Car,Medsize,1/21/11,Other,304.1791561,379.2,0,No,8,49
22,YH23384,M,14072,Medical Leave,Bachelor,Divorced,US,NE,Suburban,Personal L3,Personal Auto,2,71,Basic,Agent,Four-Door Car,Medsize,1/26/11,Collision,2412.750402,511.2,0,Yes,13,3
23,TZ98966,F,0,Unemployed,Bachelor,Single,US,OK,Suburban,Corporate L3,Corporate Auto,1,73,Basic,Branch,Four-Door Car,Medsize,2/24/11,Collision,245.01909959999998,554.376763,3,No,4,44
24,HM55802,F,17870,Disabled,Bachelor,Married,US,MO,Suburban,Corporate L2,Corporate Auto,1,61,Basic,Branch,Four-Door Car,Medsize,2/5/11,Hail,239.210789,439.2,0,No,30,91
25,FS42516,M,97541,Employed,College,Married,US,IA,Suburban,Personal L3,Personal Auto,3,72,Basic,Call Center,Four-Door Car,Large,1/29/11,Hail,580.2065977999999,389.185006,0,No,22,1
26,US89481,F,0,Unemployed,Bachelor,Single,US,MO,Suburban,Personal L3,Personal Auto,1,111,Premium,Agent,Four-Door Car,Small,2/28/11,Collision,394.6372085,799.2,0,No,15,47
27,HO30839,F,10511,Disabled,Master,Married,US,KS,Urban,Corporate L1,Corporate Auto,1,139,Extended,Branch,SUV,Medsize,2/12/11,Collision,534.6916576,516.237951,0,No,33,64
28,GE62437,F,86584,Employed,College,Single,US,NE,Suburban,Personal L3,Personal Auto,2,111,Premium,Call Center,Four-Door Car,Large,2/2/11,Collision,1290.256014,532.8,2,No,33,54
29,EJ77678,F,75690,Employed,Master,Married,US,IA,Suburban,Personal L3,Personal Auto,1,80,Extended,Branch,Four-Door Car,Small,2/7/11,Hail,323.5360468,384.0,1,No,17,44
30,SV85652,M,23158,Employed,College,Married,US,NE,Suburban,Personal L2,Personal Auto,1,63,Basic,Call Center,Four-Door Car,Small,2/28/11,Other,245.458354,322.29404300000004,1,No,4,6
31,UL64533,M,65999,Employed,High School or Below,Married,US,OK,Urban,Corporate L2,Corporate Auto,6,237,Extended,Agent,Luxury SUV,Medsize,1/22/11,Hail,1897.545611,615.927769,0,No,1,14
32,PF41800,M,0,Unemployed,Bachelor,Married,US,MO,Urban,Personal L3,Personal Auto,3,65,Basic,Call Center,Four-Door Car,Medsize,1/25/11,Collision,471.53213439999996,308.15089,0,No,19,56
33,AO98601,M,54500,Employed,Bachelor,Married,US,KS,Suburban,Corporate L2,Corporate Auto,6,63,Basic,Agent,Two-Door Car,Small,1/18/11,Collision,501.8885233,302.4,0,No,28,17
34,SK67821,F,37260,Employed,Bachelor,Married,US,IA,Rural,Corporate L1,Corporate Auto,8,62,Basic,Web,Four-Door Car,Medsize,2/13/11,Scratch/Dent,493.2916345,15.437681,0,No,19,42
35,YV55495,F,68987,Employed,High School or Below,Married,US,NE,Urban,Personal L1,Personal Auto,6,71,Basic,Branch,Four-Door Car,Medsize,1/15/11,Collision,574.4229745,204.475147,0,No,11,40
36,KY38074,M,42305,Employed,Bachelor,Married,US,MO,Suburban,Personal L3,Personal Auto,2,117,Premium,Agent,Four-Door Car,Small,1/8/11,Collision,1389.173567,561.6,0,No,10,62
37,DM79012,F,65706,Employed,Master,Married,US,IA,Suburban,Personal L3,Personal Auto,8,91,Extended,Web,Four-Door Car,Small,2/6/11,Hail,738.0976717,436.8,0,No,19,86
38,CM61827,M,0,Unemployed,Bachelor,Single,US,IA,Suburban,Personal L2,Personal Auto,1,90,Extended,Agent,Two-Door Car,Small,1/25/11,Scratch/Dent,309.0034104,648.0,0,No,7,79
39,WC35801,M,53243,Employed,High School or Below,Divorced,US,NE,Rural,Personal L3,Personal Auto,1,66,Basic,Call Center,Four-Door Car,Medsize,2/7/11,Collision,252.16330950000003,157.397849,2,No,4,15
40,QG25316,F,0,Unemployed,High School or Below,Married,US,OK,Suburban,Corporate L3,Corporate Auto,1,70,Basic,Call Center,Two-Door Car,Medsize,1/18/11,Scratch/Dent,265.2061785,484.31853600000005,1,No,7,1
41,MB98372,F,50071,Employed,College,Single,US,IA,Rural,Corporate L3,Corporate Auto,1,71,Basic,Agent,Two-Door Car,Medsize,1/11/11,Hail,277.10450310000004,18.918935,0,Yes,3,32
42,IL19217,F,60021,Employed,Bachelor,Married,US,MO,Suburban,Personal L2,Personal Auto,1,99,Extended,Agent,Four-Door Car,Small,1/28/11,Hail,393.900637,882.8719449999999,0,Yes,12,28
43,SR38658,M,43244,Employed,High School or Below,Married,US,NE,Suburban,Personal L2,Personal Auto,2,103,Basic,Agent,Sports Car,Medsize,2/8/11,Other,1223.187968,494.4,0,No,15,16
44,DH41343,M,92834,Employed,College,Married,US,KS,Suburban,Special L2,Special Auto,1,61,Basic,Call Center,Four-Door Car,Large,2/23/11,Hail,244.36651659999998,292.8,0,No,15,56
45,HG65722,F,10105,Disabled,Doctor,Married,US,IA,Rural,Personal L2,Personal Auto,3,172,Premium,Branch,SUV,Medsize,1/25/11,Collision,1281.9102890000001,0.517753,3,No,5,4
46,BU27331,M,0,Unemployed,Bachelor,Single,US,NE,Suburban,Personal L3,Personal Auto,5,73,Basic,Call Center,Four-Door Car,Medsize,1/31/11,Scratch/Dent,446.85105419999996,579.165954,3,No,7,57
47,XM45289,F,23218,Employed,High School or Below,Single,US,IA,Suburban,Personal L2,Personal Auto,4,71,Basic,Agent,Two-Door Car,Medsize,1/2/11,Other,551.4344017999999,447.79344000000003,0,No,7,10
48,KP34198,F,0,Unemployed,Bachelor,Married,US,MO,Suburban,Corporate L2,Corporate Auto,1,92,Extended,Call Center,Four-Door Car,Medsize,2/7/11,Hail,334.38753260000004,529.624084,0,No,11,77
49,SH90947,F,0,Unemployed,High School or Below,Married,US,NE,Suburban,Personal L2,Personal Auto,1,62,Basic,Branch,Four-Door Car,Medsize,1/18/11,Other,229.44789269999995,313.023175,0,No,11,56
50,WE95729,M,24804,Employed,College,Married,US,IA,Suburban,Personal L2,Personal Auto,2,104,Basic,Agent,SUV,Small,1/17/11,Collision,3670.742639,593.830288,0,No,1,28
51,PY51963,F,33190,Employed,Bachelor,Divorced,US,MO,Suburban,Corporate L1,Corporate Auto,2,106,Basic,Web,SUV,Medsize,1/11/11,Collision,3347.334946,508.8,0,Yes,18,95
52,RB69909,F,36014,Employed,High School or Below,Married,US,OK,Rural,Special L1,Special Auto,2,69,Basic,Branch,Four-Door Car,Medsize,2/21/11,Other,798.3431709,173.956072,3,No,4,40
53,XR95069,M,29834,Employed,Bachelor,Single,US,KS,Suburban,Personal L3,Personal Auto,3,64,Basic,Agent,Four-Door Car,Medsize,2/16/11,Other,485.4745666,307.2,0,No,19,44
54,FR46645,M,16701,Disabled,Bachelor,Married,US,MO,Suburban,Personal L2,Personal Auto,1,113,Premium,Branch,Four-Door Car,Small,1/17/11,Collision,429.3997319,831.625979,0,No,20,26
55,SY17488,F,46623,Employed,College,Divorced,US,NE,Suburban,Corporate L3,Corporate Auto,3,91,Extended,Call Center,Four-Door Car,Small,2/5/11,Scratch/Dent,716.4395542999999,436.8,0,No,1,53
56,AP67935,M,64749,Employed,College,Married,US,MO,Urban,Special L2,Special Auto,2,64,Basic,Branch,Four-Door Car,Medsize,2/13/11,Hail,761.95158,302.56519,0,No,24,59
57,FS37417,F,0,Unemployed,High School or Below,Married,US,NE,Suburban,Personal L2,Personal Auto,1,101,Basic,Call Center,SUV,Small,2/23/11,Collision,395.80028230000005,484.8,0,No,29,12
58,ML29312,F,16969,Disabled,High School or Below,Divorced,US,IA,Suburban,Personal L3,Personal Auto,1,124,Extended,Call Center,SUV,Medsize,1/28/11,Collision,449.94932520000003,704.7681110000001,2,No,34,47
59,UB61619,F,11621,Disabled,Master,Divorced,US,IA,Suburban,Personal L1,Personal Auto,1,108,Premium,Agent,Four-Door Car,Medsize,2/28/11,Collision,405.9567414,518.4,0,No,4,98
60,CD86811,M,17622,Retired,Bachelor,Divorced,US,NE,Suburban,Personal L1,Personal Auto,3,65,Basic,Agent,Four-Door Car,Medsize,1/2/11,Collision,445.8113369,312.0,1,Yes,1,36
61,RU83859,F,11489,Medical Leave,Bachelor,Married,US,MO,Suburban,Personal L3,Personal Auto,6,105,Premium,Call Center,Two-Door Car,Small,1/22/11,Collision,811.0333138999999,504.0,0,No,4,50
62,FG63582,M,0,Unemployed,Bachelor,Single,US,IA,Suburban,Personal L3,Personal Auto,1,94,Extended,Agent,Two-Door Car,Small,1/15/11,Collision,333.97648730000003,863.327324,0,No,20,53
63,NN71951,F,66525,Employed,High School or Below,Married,US,MO,Rural,Personal L3,Personal Auto,2,100,Basic,Agent,SUV,Medsize,1/27/11,Collision,2426.101777,104.331355,0,No,0,86
64,WB37082,F,0,Unemployed,Bachelor,Single,US,NE,Suburban,Personal L3,Personal Auto,2,63,Basic,Branch,Four-Door Car,Large,1/23/11,Scratch/Dent,661.3973653,676.391482,0,No,21,28
65,SM52139,M,33663,Employed,College,Married,US,KS,Suburban,Personal L3,Personal Auto,1,73,Basic,Web,Four-Door Car,Medsize,1/31/11,Scratch/Dent,293.0693543,350.4,0,No,29,71
66,FL82372,F,22547,Employed,College,Divorced,US,IA,Suburban,Corporate L3,Corporate Auto,3,112,Basic,Agent,SUV,Medsize,1/26/11,Collision,867.2194272,537.6,0,No,7,60
67,DP45816,F,61486,Employed,High School or Below,Married,US,NE,Urban,Personal L3,Personal Auto,2,97,Extended,Branch,Two-Door Car,Small,1/10/11,Other,1163.866926,465.25864400000006,0,No,5,65
68,GW33762,F,0,Unemployed,Bachelor,Divorced,US,IA,Suburban,Personal L3,Personal Auto,5,95,Extended,Call Center,Two-Door Car,Large,1/27/11,Collision,684.6150322999999,456.0,0,Yes,13,20
69,RZ33670,F,29879,Disabled,College,Married,US,MO,Suburban,Personal L3,Personal Auto,2,102,Premium,Web,Four-Door Car,Medsize,1/9/11,Scratch/Dent,1172.777648,500.25423499999994,0,No,17,0
70,PY70169,M,93011,Employed,High School or Below,Divorced,US,IA,Rural,Personal L3,Personal Auto,2,113,Basic,Agent,SUV,Medsize,2/24/11,Other,2264.383478,281.451042,0,No,17,12
71,MO91628,M,65186,Employed,Master,Married,US,IA,Rural,Personal L2,Personal Auto,1,65,Basic,Web,Two-Door Car,Large,2/11/11,Hail,261.4474305,5.434505000000001,0,No,29,27
72,HW87852,M,26840,Medical Leave,Master,Married,US,IA,Suburban,Personal L1,Personal Auto,1,64,Basic,Agent,Four-Door Car,Medsize,2/12/11,Collision,245.17526949999998,307.2,2,No,1,47
73,HB20453,M,0,Unemployed,Bachelor,Single,US,IA,Suburban,Personal L3,Personal Auto,5,104,Basic,Agent,Sports Car,Medsize,2/4/11,Collision,678.1270203,982.399613,1,No,30,3
74,BN87372,M,75644,Employed,Bachelor,Divorced,US,IA,Suburban,Personal L3,Personal Auto,9,65,Basic,Branch,Two-Door Car,Medsize,1/18/11,Hail,497.4801539,467.803638,3,Yes,5,68
75,YX23800,M,38984,Employed,Bachelor,Married,US,IA,Suburban,Personal L3,Personal Auto,2,73,Basic,Branch,Four-Door Car,Small,2/11/11,Hail,859.1604933,350.4,0,No,27,38
76,DZ87709,F,71811,Employed,High School or Below,Single,US,IA,Rural,Personal L1,Personal Auto,6,71,Basic,Call Center,Four-Door Car,Medsize,2/1/11,Hail,559.2161392,29.034159999999996,0,No,17,48
